mu         sigma        energy           err         delta       acc/att    iterations
0.8          0.72      -0.38537    0.00156741           5.5        0.5087             7
0.8          0.74     -0.363085    0.00213049           5.6        0.5026             8
0.8          0.76      -0.33726    0.00227272           5.5        0.5074             7
0.8          0.78     -0.314162    0.00261978           5.5        0.5083             7
0.8           0.8     -0.284329    0.00324159           5.4        0.5029             6
0.82           0.4      0.295432    0.00378385           1.9        0.5031            31
0.82          0.42         0.131     0.0034243           2.2        0.4925            28
0.82          0.44   -0.00219047    0.00312084           2.5        0.4925            25
0.82          0.46     -0.119705    0.00291637           3.8        0.4972            12
0.82          0.48     -0.216744    0.00245957           4.1        0.4948             9
0.82           0.5     -0.289385    0.00215923           4.4        0.4968             6
0.82          0.52     -0.342298    0.00173881           4.8        0.4967             2
0.82          0.54     -0.384099    0.00130098           4.9        0.4925             1
0.82          0.56     -0.414164    0.00108062           4.9         0.503             1
0.82          0.58     -0.431118   0.000965332           5.1         0.507             3
0.82           0.6     -0.440728   0.000781817           5.2        0.5049             4
0.82          0.62     -0.443199   0.000910889           5.2        0.5096             4
0.82          0.64     -0.438957   0.000844693           5.4        0.5019             6
0.82          0.66     -0.427598    0.00135784           5.4        0.5084             6
0.82          0.68      -0.41392    0.00156232           5.6        0.5062             8
0.82           0.7     -0.399451    0.00168977           5.6        0.5088             8
0.82          0.72     -0.375882    0.00205724           5.6        0.5074             8
0.82          0.74     -0.355448    0.00240355           5.6        0.5039             8
0.82          0.76     -0.327948    0.00273242           5.7        0.5024             9
0.82          0.78      -0.29659    0.00301221           5.6        0.5085             8
0.82           0.8     -0.269639    0.00316344           5.7        0.4979             9
0.84           0.4      0.294339    0.00362218           1.9        0.4918            31
0.84          0.42      0.138932    0.00368075             2        0.4989            30
0.84          0.44    0.00678308    0.00250541           2.4         0.499            26
0.84          0.46     -0.109989    0.00291725           3.6        0.4908            14
0.84          0.48     -0.202641     0.0028315           4.1        0.5023             9
0.84           0.5     -0.281461    0.00206773           4.3        0.4922             7
0.84          0.52      -0.33457     0.0016283           4.7         0.495             3
0.84          0.54     -0.378389    0.00134843           4.9        0.4907             1
0.84          0.56      -0.40922   0.000991778             5        0.4993             2
0.84          0.58     -0.426688   0.000919809           5.1        0.4964             3
0.84           0.6     -0.436714   0.000953187           5.3        0.5018             5
0.84          0.62      -0.43737    0.00101071           5.5        0.4912             7
0.84          0.64     -0.433098    0.00105162           5.4        0.5077             6
0.84          0.66     -0.422002    0.00129348           5.7        0.4991            11
0.84          0.68     -0.406881    0.00151292           5.6        0.5061             8
0.84           0.7     -0.388121    0.00198336           5.7        0.5041             9
0.84          0.72     -0.362481    0.00212878           5.8        0.5057            10
0.84          0.74     -0.338595    0.00255834           5.8        0.5028            10
0.84          0.76     -0.305825    0.00288784           5.8        0.5093            10
0.84          0.78     -0.284981    0.00294565           5.9        0.5032            13
0.84           0.8     -0.254714    0.00316272           5.8        0.5099            10
0.86           0.4      0.304795    0.00366284           1.8        0.4979            32
0.86          0.42      0.142854    0.00350516           2.1        0.4913            29
0.86          0.44     0.0158233    0.00306353           2.2        0.5093            28
0.86          0.46    -0.0971387    0.00262317           2.9        0.4913            21
